${0},,
"${0} ${1} already exists.","${0} ${1} findes allerede.",
"${0} ${1} does not exist","${0} ${1} findes ikke",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} er blevet ændret efter indlæsning, genindlæs venligst posteringen.",
"${0} ${1} is linked with existing records.","${0} ${1} er linket med eksisterende poster.",
"${0} account not set in Inventory Settings.","${0} konto er opsat i Varelager opsætning.",
"${0} already applied.",,
"${0} already saved","${0} allerede gemt",
"${0} already submitted","${0} allerede bogført",
"${0} before ${1}",,
"${0} cancelled","${0} annulleret",
"${0} cannot be cancelled","${0} kan ikke annulleres",
"${0} cannot be deleted","${0} kan ikke slettes",
"${0} deleted"," ""${0} slettet""",
"${0} entries failed","${0} indtastninger mislykkedes",
"${0} entries imported","${0} indtastninger importeret",
"${0} entry failed","${0} indtastning mislykkedes",
"${0} entry imported","${0} indtastning importeret",
"${0} fields selected","${0} felter valgt",
"${0} filters applied","${0} filtre anvendt",
"${0} has linked child accounts.","${0} har tilknyttede underkonti.",
"${0} of type ${1} does not exist","${0} av type ${1} findes ikke",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} af ${1}",
"${0} party ${1} is different from ${2}","${0} partner ${1} skiller sig fra ${2}",
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","${0} mængde 1 tilføjet.",
"${0} row added.","${0} række tilføjet.",
"${0} rows","${0} rækker",
"${0} rows added.","${0} rækker tilføjet.",
"${0} saved","${0} gemt",
"${0} shortcuts","${0} genveje",
"${0} stored at ${1}","${0} gemt på ${1}",
"${0} submitted","${0} bogført",
"${0} value ${1} does not exist.","${0} værdi ${1} findes ikke.",
0%,0%,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
"1 filter applied","1 filter anvendt",
2022-03-23,2022-03-23,
"20th of the following month: ${0}",,
"23 Mar, 2022","23 mar, 2022",
23-03-2022,23-03-2022,
23.03.2022,23.03.2022,
23/03/2022,23/03/2022,
27AAAAA0000A1Z5,,
9888900000,9888900000,
"A submittable entry is deleted only if it is in the cancelled state.","En bogførbar post slettes kun, hvis den er i annulleret tilstand.",
"API Base URL",,
"Abatement Maximum",,
"Abatement Minimum",,
Absent,,
Account,konto,
"Account ${0} does not exist.","Konto ${0} findes ikke.",
"Account Entries",Kontoposter,
"Account Name",Kontonanv,
"Account Type",Kontotype,
Accounting,Bogføring,
"Accounting Entries",Bogføringsposter,
"Accounting Ledger Entry",Bogføringspost,
"Accounting Settings","Bogførings indstillinger",
Accounts,Konti,
"Accounts Payable","Kontoer til betaling",
"Accounts Receivable","Debitor konti",
"Accumulated Depreciation","Akkumuleret afskrivning",
Action,Handling,
Active,Aktiv,
"Add Account","Tilføj konto",
"Add Customers","Tilføj kunder",
"Add Group","Tilføj gruppe",
"Add Items","Tilføj elementer",
"Add Row","Tilføj række",
"Add Suppliers","Tilføj leverandører",
"Add Taxes","Tilføj skatter",
"Add a few customers to create your first sales invoice","Tilføj nogle kunder for at oprette din første salgsfaktura",
"Add a few suppliers to create your first purchase invoice","Tilføj nogle leverandører for at oprette din første købsfaktura",
"Add a filter","Tilføj et filter",
"Add a remark","Tilføj en bemærkning",
"Add attachment","Vedhæft fil",
"Add invoice terms","Tilføj fakturabetingelser",
"Add products or services that you buy from your suppliers","Tilføj produkter eller tjenester, som du køber fra dine leverandører",
"Add products or services that you sell to your customers","Tilføj produkter eller tjenester, som du sælger til dine kunder",
"Add quote terms",,
"Add transfer terms","Tilføj overførselsbetingelser",
"Add'l Discounts","Yderligere rabatter",
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","Yderligere ${0} serienumre kræves for ${1} mængde af ${2}.",
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}","Yderligere mængde (${0}) kræves${1} for at foretage udgående overførsel af vare ${2} fra ${3} på ${4}",
Address,Adresse,
"Address Display",Adressevisning,
"Address Line 1","Adresse linje 1",
"Address Line 2","Adresse linje 2",
"Address Name","Adresse navn",
"Administrative Expenses","Administrative udgifter",
Alert,,
All,Alle,
"Allow to bypass filters",,
"Allowances Total",,
Amount,Beløb,
"Amount Paid","Betalt beløb",
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Beløb: ${0} og afskrivning: ${1} er mindre end det samlede beløb tildelt til referencer: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Beløb: ${0} er mindre end det samlede beløb tildelt til referencer: ${1}.",
Amounts,Beløb,
"An entry is cancelled only if it is in the submitted state.","En postering annulleres kun, hvis den er i indsendt tilstand.",
"An entry is submitted only if it is submittable and is in the saved state.","En postering indsendes kun, hvis den kan indsendes og er i gemt tilstand.",
"An error occurred.","Der opstod en fejl.",
And,,
"Annual Leave",,
"Annual Wage Declaration (DAS)",,
"Applicable anywhere in Frappe Books","Gælder overalt i Frappe Books",
"Applicable when POS is open",,
"Applicable when Quick Search is open","Gælder, når Quick Search er åben",
"Applicable when Template Builder is open","Gælder, når Skabelonbygger er åben",
"Applicable when a entry is open in the Form view or Quick Edit view","Gælder, når en postering er åben i formvisning eller hurtig redigering visning",
